team,team_key,conference,source,rating
Tennessee,tennessee,SEC,sp_plus,17.3
Tennessee,tennessee,SEC,talent,21.4091
Tennessee,tennessee,SEC,meta:returning_ppa,186.2
Tennessee,tennessee,SEC,meta:sp_defense,22.4
Tennessee,tennessee,SEC,meta:sp_offense,39.3
Tennessee,tennessee,SEC,meta:sp_special,0.4
Tennessee,tennessee,SEC,meta:talent_raw,885.9
Michigan,michigan,Big Ten,fpi,15.875
Michigan,michigan,Big Ten,sp_plus,17.0
Michigan,michigan,Big Ten,talent,21.8215
Michigan,michigan,Big Ten,meta:returning_ppa,212.5
Michigan,michigan,Big Ten,meta:sp_defense,15.8
Michigan,michigan,Big Ten,meta:sp_offense,33.2
Michigan,michigan,Big Ten,meta:sp_special,-0.5
Michigan,michigan,Big Ten,meta:talent_raw,890.02
Ole Miss,ole miss,SEC,fpi,16.029
Ole Miss,ole miss,SEC,sp_plus,16.5
Ole Miss,ole miss,SEC,talent,21.3911
Ole Miss,ole miss,SEC,meta:returning_ppa,279.4
Ole Miss,ole miss,SEC,meta:sp_defense,19.4
Ole Miss,ole miss,SEC,meta:sp_offense,35.2
Ole Miss,ole miss,SEC,meta:sp_special,0.7
Ole Miss,ole miss,SEC,meta:talent_raw,885.72
Penn State,penn state,Big Ten,fpi,13.716
Penn State,penn state,Big Ten,sp_plus,16.2
Penn State,penn state,Big Ten,talent,10.2131
Penn State,penn state,Big Ten,meta:returning_ppa,21.5
Penn State,penn state,Big Ten,meta:sp_defense,18.3
Penn State,penn state,Big Ten,meta:sp_offense,33.9
Penn State,penn state,Big Ten,meta:sp_special,0.6
Penn State,penn state,Big Ten,meta:talent_raw,774.04
Washington,washington,Big Ten,fpi,9.893
Washington,washington,Big Ten,sp_plus,15.8
Washington,washington,Big Ten,talent,10.5724
Washington,washington,Big Ten,meta:returning_ppa,228.1
Washington,washington,Big Ten,meta:sp_defense,17.0
Washington,washington,Big Ten,meta:sp_offense,33.0
Washington,washington,Big Ten,meta:sp_special,-0.3
Washington,washington,Big Ten,meta:talent_raw,777.63
Missouri,missouri,SEC,fpi,12.18
Missouri,missouri,SEC,sp_plus,15.4
Missouri,missouri,SEC,talent,13.6482
Missouri,missouri,SEC,meta:returning_ppa,132.8
Missouri,missouri,SEC,meta:sp_defense,16.4
Missouri,missouri,SEC,meta:sp_offense,32.3
