game_id,season,week,kickoff,home_team,away_team,neutral_site,venue,neutral_margin,hfa,hfa_elevation,coaching,situational,adjustment_total,projected_margin,projected_total,market_spread,market_total,edge,home_win_probability,bet_side,bet_line,cover_probability,expected_value,units,home_points,away_points,actual_margin,bet_result,component_fpi,weight_fpi,component_sp_plus,weight_sp_plus,component_talent,weight_talent
401858423,2026,1,2026-09-03T22:00:00+00:00,Rutgers,Massachusetts,False,SHI Stadium,24.279,2.415,0.0,1.241,0.0,1.241,27.93,60.3,-30.5,54.5,-2.57,0.9229,none,30.5,0.49421280373694315,-0.056502829229472196,0.0,,,,,18.681,0.2398,35.6,0.4404,12.869,0.3193
401869960,2026,1,2026-09-05T16:00:00+00:00,James Madison,Liberty,False,Bridgeforth Stadium,1.995,3.282,0.0,-1.5,0.0,-1.5,3.78,62.3,-6.25,52.5,-2.47,0.5755,away,6.25,0.5371070140987318,0.025386117824851784,0.7,,,,,5.722,0.2398,4.4,0.4404,-4.121,0.3193
401858204,2026,1,2026-09-03T23:00:00+00:00,Wake Forest,Akron,False,Allegacy Federal Credit Union Stadium,20.904,2.498,0.0,1.5,0.017,1.517,24.92,41.1,-22.5,49.5,2.42,0.8978,home,-22.5,0.5276332947632296,0.0072999263661656655,0.2,,,,,20.233,0.2398,26.3,0.4404,13.965,0.3193
401856664,2026,1,2026-09-05T00:00:00+00:00,Oklahoma,UTEP,False,"Memorial Stadium (Norman, OK)",32.417,4.092,0.0,1.5,0.096,1.596,38.11,46.4,-40.5,50.5,-2.39,0.9746,none,40.5,0.5172649065377077,-0.012494269337103348,0.0,,,,,34.387,0.2398,38.1,0.4404,23.1,0.3193
401858202,2026,1,2026-08-29T19:30:00+00:00,Virginia,NC State,False,Scott Stadium,0.453,2.361,0.0,-0.74,0.0,-0.74,2.07,53.0,-4.25,53.5,-2.18,0.5415,away,4.25,0.542664894921812,0.03599661757800482,0.99,,,,,4.176,0.2398,2.4,0.4404,-5.029,0.3193
401864432,2026,1,2026-09-06T02:30:00+00:00,Nevada,Western Kentucky,False,Mackay Stadium,-3.704,3.376,0.0,-1.374,0.528,-0.846,-1.17,54.8,3.25,53.0,2.08,0.4765,home,3.25,0.542303704849782,0.035307072895038316,0.97,,,,,-7.072,0.2398,-4.4,0.4404,-0.215,0.3193
401856777,2026,1,2026-09-05T19:30:00+00:00,Cincinnati,Boston College,False,Nippert Stadium,3.554,2.262,0.0,0.624,0.151,0.775,6.59,58.7,-8.5,54.5,-1.91,0.6302,away,8.5,0.55388759488273,0.05742177204884824,1.58,,,,,7.074,0.2398,5.5,0.4404,-1.773,0.3193
401858432,2026,1,2026-09-05T16:30:00+00:00,Ohio State,Ball State,False,Ohio Stadium,47.949,2.704,0.0,1.5,0.0,1.5,52.15,49.6,-50.25,56.5,1.9,0.9963,none,-50.25,0.5067983461869797,-0.032475884552129575,0.0,,,,,45.958,0.2398,57.8,0.4404,35.859,0.3193
401858426,2026,1,2026-09-05T20:15:00+00:00,Iowa,Northern Illinois,False,Kinnick Stadium,25.243,1.637,0.0,1.5,0.0,1.5,28.38,46.2,-30.25,45.5,-1.87,0.9262,none,30.25,0.49431659253923393,-0.05630468697055341,0.0,,,,,25.079,0.2398,31.8,0.4404,16.322,0.3193
401864497,2026,1,2026-09-06T02:00:00+00:00,Hawai'i,UNLV,False,Clarence T.C. Ching Athletics Complex,-7.189,3.392,0.0,-0.882,0.871,-0.011,-3.81,65.7,2.0,58.5,-1.81,0.4239,away,-2.0,0.5152044631817381,0.0012606478521882125,0.04,,,,,-4.162,0.2398,-6.2,0.4404,-10.826,0.3193
401858437,2026,1,2026-09-06T20:00:00+00:00,Washington,Washington State,False,Husky Stadium,16.395,2.676,0.0,1.5,0.0,1.5,20.57,46.3,-22.25,50.5,-1.68,0.8519,none,22.25,0.5079595079113105,-0.03025912126022534,0.0,,,,,13.947,0.2398,20.1,0.4404,13.124,0.3193
401856667,2026,1,2026-09-05T19:30:00+00:00,Texas,Texas State,False,DKR-Texas Memorial Stadium,28.866,3.028,0.0,0.102,0.0,0.102,32.0,72.1,-30.5,60.0,1.5,0.949,home,-30.5,0.5352808566205611,0.02189981718470768,0.6,,,,,31.174,0.2398,24.9,0.4404,32.603,0.3193
401864498,2026,1,2026-09-06T02:00:00+00:00,New Mexico,Central Michigan,False,University Stadium (NM),10.076,2.922,0.0,0.898,0.351,1.249,14.25,48.9,-12.75,49.0,1.5,0.7645,none,-12.75,0.49772309557183275,-0.04980136299922827,0.0,,,,,9.275,0.2398,15.1,0.4404,3.75,0.3193
401870763,2026,1,2026-09-05T23:00:00+00:00,Troy,Sam Houston,False,Veterans Memorial Stadium (AL),11.531,1.916,0.0,1.5,0.095,1.595,15.04,58.5,-16.25,51.5,-1.21,0.7768,none,16.25,0.5098650489010369,-0.026621270279838627,0.0,,,,,11.063,0.2398,18.0,0.4404,2.96,0.3193
401856634,2026,1,2026-09-05T16:00:00+00:00,Alabama,East Carolina,False,Bryant-Denny Stadium,24.02,4.161,0.0,-0.091,0.106,0.015,28.2,45.7,-27.0,54.0,1.2,0.9249,none,-27.0,0.5224417194016209,0.01757250456963222,0.0,,,,,20.69,0.2398,19.9,0.4404,32.203,0.3193
401856668,2026,1,2026-09-05T23:00:00+00:00,Texas A&M,Missouri State,False,Kyle Field,36.201,2.382,0.0,1.5,0.066,1.566,40.15,56.8,-39.0,52.5,1.15,0.9803,none,-39.0,0.4980536203834067,-0.02852286443936003,0.0,,,,,30.257,0.2398,40.0,0.4404,35.427,0.3193
401858433,2026,1,2026-09-05T19:30:00+00:00,Oregon,Boise State,False,Autzen Stadium,23.159,2.21,0.0,0.238,0.015,0.253,25.62,57.3,-24.5,52.0,1.12,0.9041,none,-24.5,0.516347974108731,-0.014244776701513473,0.0,,,,,21.231,0.2398,24.1,0.4404,23.308,0.3193
401858429,2026,1,2026-09-05T00:00:00+00:00,Michigan State,Toledo,False,Spartan Stadium,9.848,1.999,0.0,-0.3,0.0,-0.3,11.55,48.6,-10.5,49.5,1.05,0.7202,none,-10.5,0.4728625930634568,-0.09726232233340065,0.0,,,,,3.253,0.2398,11.3,0.4404,12.797,0.3193
401856636,2026,1,2026-09-05T19:30:00+00:00,Auburn,Baylor,True,Mercedes-Benz Stadium,8.37,0.0,0.0,-0.873,0.124,-0.749,7.62,57.8,-6.75,59.25,0.87,0.6497,none,-6.75,0.4966993049579358,-0.05175587235303164,0.0,,,,,5.489,0.2398,7.7,0.4404,11.458,0.3193
401858209,2026,1,2026-09-05T19:30:00+00:00,Duke,Tulane,False,Wallace Wade Stadium,4.816,2.878,0.0,1.5,0.165,1.665,9.36,62.2,-8.5,52.0,0.86,0.6817,none,-8.5,0.4659783467364187,-0.11040497441229158,0.0,,,,,1.296,0.2398,9.9,0.4404,0.447,0.3193
401856776,2026,1,2026-09-04T00:00:00+00:00,Georgia Tech,Colorado,False,Bobby Dodd Stadium,2.667,2.4,0.0,0.758,0.325,1.083,6.15,54.5,-7.0,50.5,-0.85,0.6218,none,7.0,0.5104477168186861,0.02434114074174154,0.0,,,,,-0.36,0.2398,5.2,0.4404,1.446,0.3193
401860878,2026,1,2026-09-05T22:00:00+00:00,Colorado State,Wyoming,False,Canvas Stadium,0.582,2.989,0.0,-0.645,0.0,-0.645,2.93,37.5,-3.75,48.0,-0.82,0.5587,none,3.75,0.5234638569270655,-0.0006599095028748114,0.0,,,,,0.705,0.2398,-0.8,0.4404,2.397,0.3193
401858438,2026,1,2026-09-06T23:30:00+00:00,Notre Dame,Wisconsin,True,Lambeau Field,20.349,0.0,0.0,0.903,0.0,0.903,21.25,45.3,-20.5,47.5,0.75,0.8598,none,-20.5,0.519348832385333,-0.00851586544618238,0.0,,,,,21.038,0.2398,22.7,0.4404,16.589,0.3193
401856661,2026,1,2026-09-06T23:30:00+00:00,Ole Miss,Louisville,True,Nissan Stadium,8.262,0.0,0.0,-1.127,0.0,-1.127,7.14,56.4,-6.5,55.5,0.64,0.6406,none,-6.5,0.48998863770867984,-0.06456714619252024,0.0,,,,,6.575,0.2398,5.4,0.4404,13.476,0.3193
401858434,2026,1,2026-09-05T19:30:00+00:00,Penn State,Marshall,False,Beaver Stadium,22.52,2.2,0.0,-0.124,0.0,-0.124,24.6,67.1,-24.0,54.5,0.6,0.8948,none,-24.0,0.501995327408202,-0.01225219696815627,0.0,,,,,22.502,0.2398,24.4,0.4404,19.941,0.3193
401864494,2026,1,2026-08-29T19:00:00+00:00,USC,San José State,False,Los Angeles Memorial Coliseum,31.462,3.96,0.0,0.811,0.001,0.812,36.23,61.0,-36.75,59.5,-0.52,0.9682,none,36.75,0.4978132588256138,-0.049629233151100904,0.0,,,,,31.268,0.2398,33.4,0.4404,28.934,0.3193
401858210,2026,1,2026-09-06T02:30:00+00:00,California,UCLA,False,California Memorial Stadium,-1.605,3.336,0.0,-1.458,0.015,-1.443,0.29,58.4,0.0,54.0,0.29,0.5058,none,0.0,0.5020398012651816,-0.04156037940283519,0.0,,,,,0.412,0.2398,-2.4,0.4404,-2.024,0.3193
401858428,2026,1,2026-09-05T23:30:00+00:00,Michigan,Western Michigan,False,Michigan Stadium,24.884,1.644,0.0,0.246,0.0,0.246,26.77,45.1,-26.5,47.5,0.27,0.9138,none,-26.5,0.5253786661051258,0.002995635291603904,0.0,,,,,19.912,0.2398,23.0,0.4404,31.216,0.3193
401856665,2026,1,2026-09-05T16:45:00+00:00,South Carolina,Kent State,False,Williams-Brice Stadium,31.895,2.732,0.0,0.992,0.068,1.06,35.69,50.9,-35.5,53.0,0.19,0.9662,none,-35.5,0.5024167210697054,-0.04084080523056244,0.0,,,,,29.583,0.2398,35.0,0.4404,29.349,0.3193
401856660,2026,1,2026-09-05T23:30:00+00:00,LSU,Clemson,False,Tiger Stadium (LA),6.76,3.506,0.0,-0.197,0.094,-0.103,10.16,43.2,-10.0,50.5,0.16,0.696,none,-10.0,0.4560262876294197,-0.10185965908251005,0.0,,,,,6.613,0.2398,7.3,0.4404,6.125,0.3193
401856637,2026,1,2026-09-05T23:45:00+00:00,Florida,Florida Atlantic,False,Ben Hill Griffin Stadium,22.412,3.16,0.0,0.27,0.0,0.27,25.84,59.5,-26.0,58.5,-0.16,0.906,none,26.0,0.478115685379296,-0.0770932205730987,0.0,,,,,24.831,0.2398,21.3,0.4404,22.128,0.3193
401862699,2026,1,2026-09-05T23:00:00+00:00,South Florida,Florida International,False,Raymond James Stadium,10.901,3.025,0.0,-0.985,0.0,-0.985,12.94,65.4,-13.0,55.0,-0.06,0.7435,none,13.0,0.5084936609483527,-0.018125344640855523,0.0,,,,,11.631,0.2398,12.8,0.4404,7.735,0.3193
401862695,2026,1,2026-09-05T23:00:00+00:00,Memphis,Arkansas State,False,Simmons Bank Liberty Stadium,8.614,1.273,0.0,0.102,0.0,0.102,9.99,65.4,-10.0,55.5,-0.01,0.693,none,10.0,0.5176602200939687,0.015804775918995317,0.0,,,,,7.236,0.2398,11.9,0.4404,5.116,0.3193
