game_id,spread,total,provider,book_count,spread_min,spread_max
401868240,3.5,50.5,Draft Kings,1,3.5,3.5
401868315,-24.5,51.5,Draft Kings,1,-24.5,-24.5
401868070,-3.0,50.5,Draft Kings,1,-3.0,-3.0
401868962,-28.5,51.5,Draft Kings,1,-28.5,-28.5
401867874,-27.5,44.5,Draft Kings,1,-27.5,-27.5
401874035,19.5,55.5,Draft Kings,1,19.5,19.5
401868169,-7.5,45.5,Draft Kings,1,-7.5,-7.5
401866532,-2.5,46.5,Draft Kings,1,-2.5,-2.5
401856662,-28.5,54.75,median of 2,2,-28.5,-28.5
401858428,-27.5,48.5,median of 2,2,-27.5,-27.5
401856636,-7.25,58.75,median of 2,2,-7.5,-7.0
401858433,-24.5,51.25,median of 2,2,-24.5,-24.5
401858430,-23.75,46.25,median of 2,2,-24.0,-23.5
401864432,2.5,52.5,median of 2,2,2.5,2.5
401856661,-7.0,55.5,median of 2,2,-7.0,-7.0
401856634,-27.75,52.5,median of 2,2,-28.0,-27.5
401864498,-10.0,46.5,median of 2,2,-10.0,-10.0
401858424,-27.75,54.5,median of 2,2,-28.0,-27.5
401856778,-20.5,49.5,median of 2,2,-20.5,-20.5
401856665,-36.0,54.0,median of 2,2,-36.5,-35.5
401870763,-16.75,53.5,median of 2,2,-17.0,-16.5
401858434,-24.25,52.5,median of 2,2,-24.5,-24.0
401858426,-31.25,44.5,median of 2,2,-31.5,-31.0
401862699,-14.0,52.25,median of 2,2,-14.0,-14.0
401856637,-26.5,59.5,median of 2,2,-26.5,-26.5
401858210,2.25,53.75,median of 2,2,2.0,2.5
401860878,-3.0,46.5,median of 2,2,-3.0,-3.0
401858438,-20.5,47.0,median of 2,2,-20.5,-20.5
401864497,3.0,55.75,median of 2,2,3.0,3.0
401858207,-16.5,48.5,median of 2,2,-16.5,-16.5
401864495,-3.0,56.25,median of 2,2,-3.0,-3.0
401858204,-23.75,48.5,median of 2,2,-24.0,-23.5
401856780,-21.0,55.75,median of 2,2,-21.0,-21.0
401862695,-11.25,52.25,median of 2,2,-11.5,-11.0
401856660,-10.0,50.5,median of 2,2,-10.0,-10.0
401858429,-9.5,47.0,median of 2,2,-9.5,-9.5
401858432,-50.75,56.5,median of 2,2,-51.0,-50.5
401856668,-40.5,53.5,median of 2,2,-40.5,-40.5
401856664,-41.5,51.5,median of 2,2,-41.5,-41.5
